epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,158.633,0.40197,0.25733,0.97761,0.99523,1,0.995,0.98381,0.20117,0.13964,0.78127,0.000317,0.000317,0.000317
87,160.439,0.40658,0.24926,0.99261,0.9952,1,0.995,0.98281,0.19135,0.13063,0.77684,0.0002972,0.0002972,0.0002972
88,162.265,0.40513,0.27174,0.97796,0.99509,1,0.995,0.98209,0.30389,0.1983,0.83307,0.0002774,0.0002774,0.0002774
89,164.063,0.34042,0.23722,0.96289,0.99513,1,0.995,0.98291,0.34557,0.20796,0.85901,0.0002576,0.0002576,0.0002576
90,165.859,0.37071,0.24546,0.96112,0.99512,1,0.995,0.98481,0.34974,0.21415,0.86113,0.0002378,0.0002378,0.0002378
91,168.025,0.26295,0.19717,0.89311,0.99512,1,0.995,0.9885,0.31694,0.1993,0.83826,0.000218,0.000218,0.000218
92,169.874,0.26425,0.18481,0.90572,0.99513,1,0.995,0.9895,0.23566,0.15125,0.79257,0.0001982,0.0001982,0.0001982
93,171.664,0.24203,0.15986,0.90895,0.99517,1,0.995,0.9895,0.24295,0.15599,0.79628,0.0001784,0.0001784,0.0001784
94,173.456,0.23848,0.172,0.92606,1,1,0.995,0.98995,0.25823,0.15995,0.8023,0.0001586,0.0001586,0.0001586
95,175.246,0.25802,0.16355,0.90907,1,1,0.995,0.98995,0.25795,0.15836,0.79731,0.0001388,0.0001388,0.0001388
96,177.06,0.24803,0.15547,0.87626,1,1,0.995,0.98795,0.23156,0.13936,0.78151,0.000119,0.000119,0.000119
97,178.869,0.23349,0.15394,0.89577,1,1,0.995,0.98795,0.22344,0.13745,0.78022,9.92e-05,9.92e-05,9.92e-05
98,180.682,0.23212,0.14947,0.89876,1,1,0.995,0.98795,0.2166,0.14281,0.77804,7.94e-05,7.94e-05,7.94e-05
99,182.493,0.22847,0.15444,0.88712,1,1,0.995,0.98795,0.21104,0.1358,0.77626,5.96e-05,5.96e-05,5.96e-05
100,184.337,0.25215,0.16094,0.89717,1,1,0.995,0.98795,0.20712,0.12979,0.77662,3.98e-05,3.98e-05,3.98e-05
